Ex(m), Ey(m), Ez(m)
1
0.0652912, 0.0265079, 0.001299858
0.06260912, 0.01376301, 0.0287199
0.1437464, 0.002731614, 0.03657818
0.4122757, -0.008207396, 0.03693199
0.9708662, -0.01705366, 0.03601074
1.913865, -0.0186106, 0.03722572
3.395546, -0.009933829, 0.03906441
5.5047, 0.008332729, 0.04024506
8.108677, 0.01823854, 0.03935719
11.17273, 0.02023125, 0.03918266
14.57868, 0.01594591, 0.04095173
18.39877, 0.009648323, 0.04063416
22.34208, 0.001803398, 0.03786564
26.38613, -0.002382278, 0.03333569
30.42224, -0.002120018, 0.02770042
34.5224, 0.001960754, 0.02209949
38.45146, 0.01034355, 0.01812267
41.8632, 0.02007866, 0.01685429
44.66166, 0.04815102, 0.006993294
46.83865, 0.1868877, -0.05074596
48.18956, 0.5337353, -0.1978426
1.575629, 0.06931333, 0.01557928
2.764254, -0.3362193, -0.08388525
4.721062, -0.4561253, -0.1249971
7.127304, -0.430147, -0.1384051
10.13558, -0.3699396, -0.1485355
13.22788, -0.3330128, -0.1666756
16.35982, -0.3097986, -0.1952453
19.33573, -0.2886944, -0.2203898
22.30025, -0.2619834, -0.2305431
25.1028, -0.2320127, -0.2224059
27.57009, -0.186204, -0.1886845
29.3507, -0.08066416, -0.1260223
30.31246, 0.1404166, -0.03205013
1.659264, 0.1557631, 0.08037969
2.699638, -0.05240762, 0.1424719
4.424706, -0.1022323, 0.1857598
6.581417, -0.07912254, 0.2164788
9.013821, -0.07233, 0.2327378
11.3909, -0.07948875, 0.2316582
13.83743, -0.08933353, 0.2207854
16.27692, -0.1008515, 0.2040844
18.74965, -0.1037354, 0.1841502
21.15242, -0.09904003, 0.1658869
23.65219, -0.09297276, 0.1481667
26.14929, -0.08788967, 0.1291509
28.5838, -0.08421803, 0.1053743
30.55583, -0.1185017, 0.08053875
31.90793, -0.238369, 0.06349945
1.516864, -0.1397807, -0.1091856
2.103488, 0.0775136, -0.0812636
3.519958, 0.1235273, -0.08417058
5.582091, 0.07181558, -0.1020503
7.976331, 0.01599663, -0.1177776
10.79849, -0.006306052, -0.1249542
13.67449, 0.009218097, -0.1318524
16.43037, 0.03692091, -0.1380067
19.25784, 0.06360698, -0.1400228
21.98912, 0.08210373, -0.1363738
24.36909, 0.09572792, -0.1220069
26.30594, 0.1412809, -0.09694719
27.61669, 0.2698855, -0.05571318
1.594625, 0.1589088, -0.01043053
2.139213, -0.09570104, 0.02358797
3.559927, -0.1892061, 0.05432343
5.657083, -0.1596541, 0.08200157
8.081836, -0.1188354, 0.1080202
10.81752, -0.1119089, 0.1259934
13.61819, -0.124249, 0.130708
16.49087, -0.1368699, 0.1271241
19.23497, -0.1444187, 0.1151216
21.96918, -0.1444893, 0.09648108
24.61239, -0.1345091, 0.07416081
26.85375, -0.1209497, 0.04875374
28.59706, -0.1049309, 0.01684141
29.7988, -0.08344936, -0.01983356
30.51207, -0.0592165, -0.05596685
30.83419, -0.03939724, -0.0790019
30.89603, -0.02671719, -0.086483
2
-0.0005141774, -0.008354884, 0.005132675
