Ex(m), Ey(m), Ez(m)
1
0.01855584, 0.005698496, -0.004031181
0.03316236, 0.00880387, 0.02548599
0.136879, 0.01021649, 0.03312111
0.4089752, 0.01247104, 0.03416443
0.9433345, 0.01232001, 0.03353882
1.88989, 0.008139968, 0.03306007
3.179662, 0.01135665, 0.03333473
4.782931, 0.02477717, 0.03596401
6.575302, 0.03262162, 0.0383997
8.443386, 0.03431153, 0.03913593
10.39282, 0.03813934, 0.03725433
12.21387, 0.1325154, 0.03320694
13.90661, 0.4355607, 0.02773952
0.7284477, 1.072709, 0.02334118
2.227674, 0.3110996, 0.01738167
3.942131, -0.07267985, 0.01080513
5.852507, -0.2222053, 0.005434036
7.91263, -0.2420041, 0.003159523
10.07573, -0.2228627, 0.00374794
12.17937, -0.1771623, 0.003416061
14.25756, -0.03522462, -0.0003652573
16.16836, 0.2905048, -0.005784035
0.5839608, 0.765777, -0.01222801
2.291241, 0.12035, -0.01847267
4.161545, -0.1976508, -0.02069759
6.116165, -0.2905474, -0.01913929
8.209236, -0.2680571, -0.014575
10.33519, -0.2164292, -0.011199
12.27405, -0.09334183, -0.01091099
14.08942, 0.2082543, -0.01280594
15.82402, 0.8572798, -0.01560402
1.978222, 0.2903582, -0.01834965
3.766031, -0.1412426, -0.02178955
5.702846, -0.2961558, -0.02168369
7.6768, -0.2993999, -0.01786995
9.677776, -0.2582829, -0.01369095
11.72181, -0.1617179, -0.0113678
13.73623, 0.1054306, -0.01171875
15.4958, 0.6394825, -0.0134325
1.519821, 0.4708055, -0.0150013
3.269696, -0.02965024, -0.01777172
5.202878, -0.2512493, -0.01814842
7.246074, -0.2952637, -0.01719093
9.378399, -0.2687137, -0.01473522
11.57318, -0.2227474, -0.01234627
13.59084, -0.1731288, -0.01087761
15.35061, -0.1266369, -0.00912571
16.69542, -0.0869112, -0.006699562
17.58586, -0.05305219, -0.006810188
18.02073, -0.02652502, -0.006793976
18.1443, -0.007144928, -0.004719734
2
-0.04348988, -0.01152057, -0.00342083
-0.01159174, -0.007660601, 0.0126524
0.1050468, -0.003746808, 0.01581383
0.3726536, -0.005219616, 0.01695728
0.8576778, -0.00770548, 0.01808357
1.636574, -0.009984314, 0.01998425
2.758549, -0.003762722, 0.01956081
4.191079, 0.0004540682, 0.0177927
5.820366, -0.00594151, 0.01686096
7.551348, -0.01617742, 0.01641941
9.365999, -0.02331853, 0.01595497
11.24329, 0.006276846, 0.01490784
13.00037, 0.1857789, 0.01385784
14.62358, 0.6286173, 0.0124712
1.301777, 0.6750517, 0.01036739
2.915718, 0.09774099, 0.006046295
4.793507, -0.1636887, 0.002225876
6.815978, -0.225657, 0.002039909
