Replication, Ex(m), Ey(m), Ez(m)
1, 8.459578, 0.2121876, 0.02201487
2, 8.354914, 0.2099265, 0.008310043
3, 8.215223, 0.2071445, 0.01127938
4, 8.481812, 0.2013238, 0.01577139
5, 8.563476, 0.2070859, 0.0154233
6, 8.214621, 0.2089368, 0.01534236
7, 8.386369, 0.2097299, 0.01257003
8, 8.457259, 0.2107432, 0.01317088
9, 8.33367, 0.2033184, 0.01122178
10, 8.109602, 0.2108776, 0.01086804
