Ex(m), Ey(m), Ez(m)
1
0.04172724, 0.05128721, 0.01211929
0.06115726, 0.0330582, 0.0315094
0.1952514, 0.01984339, 0.03708839
0.5241027, 0.00881663, 0.03705692
1.179359, 0.0006222427, 0.0360527
2.250926, 0.002005696, 0.03708172
3.655228, 0.01170015, 0.03813839
5.377694, 0.02971208, 0.03959656
7.190793, 0.03685832, 0.03840733
8.999714, 0.03357172, 0.03643417
10.8411, 0.04394388, 0.02292442
12.63071, 0.1578286, -0.05642414
14.27799, 0.4876494, -0.2701378
1.036626, 0.9091889, -0.1804071
2.564552, 0.2559166, -0.07512891
4.393224, -0.06731965, -0.03891993
6.55412, -0.1880557, -0.04663515
8.790828, -0.2038821, -0.06608272
11.21844, -0.2000718, -0.08141994
13.61506, -0.1834098, -0.08850431
15.73238, -0.1596599, -0.08687305
17.69731, -0.1041826, -0.04342222
19.27701, 0.06089497, 0.1384306
0.5801108, 0.3046297, 0.4253249
1.612433, -0.1142542, 0.1054529
2.897947, -0.2766938, 0.01636398
4.42396, -0.2743961, 0.04426396
5.98067, -0.2044709, 0.08841681
7.530216, -0.1342199, 0.105437
9.058932, -0.08192229, 0.1045635
10.52241, -0.04980946, 0.1006432
12.03727, -0.03531551, 0.09872484
13.52738, -0.03263569, 0.09777403
14.98761, -0.03125906, 0.0931468
16.45257, 0.004331112, 0.06628895
17.76951, 0.1838431, -0.03822374
0.5543435, 0.5939716, -0.4120097
1.65526, 0.1272145, -0.08799639
3.162483, -0.0819881, 0.009568751
4.957524, -0.1482632, -0.02165079
6.982277, -0.1709967, -0.08176363
9.031022, -0.1851599, -0.1204414
11.11973, -0.1733465, -0.1314135
13.05682, -0.06407356, -0.08426809
14.94081, 0.252408, 0.0771513
0.5494045, 1.061079, 0.5080182
2.039335, 0.305638, 0.2123767
3.838485, -0.1290891, 0.08729625
5.833114, -0.3071695, 0.07146549
7.999025, -0.3261282, 0.09711099
10.15962, -0.2842515, 0.1123545
12.35644, -0.2197519, 0.1054649
14.41145, -0.1520965, 0.0856688
16.18686, -0.09649265, 0.05437803
17.57344, -0.05303502, 0.01254272
18.42578, -0.02306688, -0.03803349
18.88089, -0.002346635, -0.09080648
19.01102, 0.009934545, -0.1210346
2
-0.02377145, 0.03084356, -0.009251595
0.003043852, 0.01690498, 0.009638786
0.1182688, -0.0003644824, 0.01430988
0.3932503, -0.01669962, 0.01451302
0.9111797, -0.02941743, 0.01447964
1.72739, -0.03656274, 0.01480293
2.92752, -0.03767252, 0.01464558
4.392738, -0.02937686, 0.01526356
6.012071, -0.01581717, 0.01563072
7.815909, -0.009573698, 0.01516342
9.669727, -0.007942438, 0.01448441
