Replication, Ex(m), Ey(m), Ez(m)
1, 16.97889, 0.115374, 0.09882862
2, 17.22183, 0.1086202, 0.1008792
3, 17.4404, 0.1099263, 0.1033144
4, 16.88009, 0.0952557, 0.09817468
5, 17.38298, 0.09713911, 0.09748214
6, 17.01685, 0.101408, 0.09844914
7, 17.14514, 0.1063359, 0.1026342
8, 17.00677, 0.1069204, 0.1013558
9, 17.81433, 0.09643696, 0.1019784
10, 17.36381, 0.09516655, 0.1013243
