Ex(m), Ey(m), Ez(m)
0.05340853, 0.06105616, 0.01695728
0.1514544, 0.04018085, 0.01965046
0.4423606, 0.02320534, 0.02020359
0.9964513, 0.01541531, 0.0211277
1.824633, 0.01207948, 0.02273846
2.938963, 0.007724047, 0.02445889
4.404898, 0.004867435, 0.02514458
6.077003, 0.007725, 0.02554989
7.817791, 0.00807786, 0.02521992
9.607947, 0.008517981, 0.02456951
11.41426, 0.06738377, 0.02333641
13.09405, 0.2930076, 0.02242184
14.64638, 0.7988644, 0.02152061
1.381699, 0.8433189, 0.02030277
2.873632, 0.210856, 0.01933384
4.571321, -0.1002782, 0.01768398
6.448515, -0.1764813, 0.01716518
8.393824, -0.1468942, 0.01774311
10.40372, -0.1016108, 0.01930523
12.43424, -0.03856218, 0.01966763
14.32412, 0.1160548, 0.01792145
16.04945, 0.4645038, 0.01554966
17.60914, 1.048136, 0.01246071
2.026342, 0.438755, 0.01021671
3.751851, 0.03140092, 0.00785923
5.570354, -0.1229486, 0.00570488
7.487989, -0.1314797, 0.00511837
9.385574, -0.1031246, 0.005449295
11.34639, -0.03892326, 0.004032135
13.19965, 0.1796207, 0.001992226
14.83377, 0.653173, -0.0006542206
1.105359, 0.9690403, -0.00231266
2.583073, 0.3038, -0.003510475
4.201128, -0.04947674, -0.005005836
6.044932, -0.1713886, -0.006952286
7.899117, -0.1671987, -0.006485939
9.77011, -0.1380982, -0.004758835
11.69837, -0.05421686, -0.003826141
13.43027, 0.1793671, -0.004261017
15.10233, 0.6843548, -0.006115913
1.215436, 0.8230807, -0.00835228
2.717356, 0.2224098, -0.01077747
4.433518, -0.1153878, -0.01257229
6.241753, -0.2318475, -0.01365757
8.136685, -0.2379951, -0.01305389
10.15633, -0.2074397, -0.01198101
12.08398, -0.1673061, -0.0119524
13.83778, -0.1260691, -0.01110363
15.3229, -0.09095401, -0.008506775
16.5264, -0.06451809, -0.008255005
17.42314, -0.0454545, -0.009314537
17.96577, -0.03591824, -0.01052475
18.18099, -0.03125131, -0.01021194
18.20492, -0.0291127, -0.008882523
5
0.05278657, 0.08443206, 0.002423286
0.05641715, 0.06080989, 0.01799107
0.1442712, 0.03775103, 0.02122307
0.4077505, 0.01845297, 0.02171516
