Replication, Ex(m), Ey(m), Ez(m)
1, 8.315066, 0.2157369, 0.01680936
2, 8.614269, 0.2103257, 0.007108168
3, 8.490406, 0.2172311, 0.009829417
4, 8.543402, 0.2095248, 0.01280401
5, 8.506835, 0.2104567, 0.01058344
6, 8.605666, 0.2084858, 0.01101656
7, 8.243477, 0.2149071, 0.009924253
8, 8.334962, 0.2158917, 0.01089602
9, 8.611349, 0.2115319, 0.00741435
10, 8.125206, 0.2083665, 0.008674865
