Replication, Ex(m), Ey(m), Ez(m)
1, 8.525775, 0.1984161, 0.01907409
2, 8.360578, 0.1933438, 0.00621781
3, 8.267667, 0.1993449, 0.009023135
4, 8.705712, 0.1904333, 0.01341717
5, 8.390553, 0.197635, 0.01258607
6, 8.31221, 0.1939538, 0.01222097
7, 8.261327, 0.1994544, 0.01054857
8, 8.385822, 0.1980779, 0.01045981
9, 8.391573, 0.1982718, 0.009844267
10, 8.498641, 0.1983066, 0.007990544
