Ex(m), Ey(m), Ez(m)
1
0.06158065, -0.02669938, 0.008898735
0.06590711, -0.02613634, 0.03042507
0.170351, -0.02809871, 0.03611946
0.4580787, -0.02913616, 0.03670311
1.009538, -0.02840382, 0.03632355
1.915956, -0.02399698, 0.03625584
3.060828, -0.01713076, 0.0379076
4.35323, -0.006625772, 0.03991699
5.73199, 0.0004367232, 0.03983974
7.123715, 0.004088223, 0.03844547
8.382975, 0.07086992, 0.03600788
9.45183, 0.3206399, 0.03334904
0.8574046, 0.3612117, 0.0279417
1.779643, -0.004741746, 0.02160454
2.971666, -0.1343738, 0.01710987
4.287442, -0.126856, 0.01938248
5.677961, -0.08459593, 0.02478123
6.958142, -0.06671555, 0.02664471
8.102246, -0.188866, 0.0260458
0.6097248, -0.364674, 0.02162552
1.373599, 0.03131397, 0.01445866
2.425351, 0.1475815, 0.008012772
3.577831, 0.132011, 0.003730774
4.755589, 0.09983618, 0.002696991
5.862362, 0.006345827, 0.001970291
6.77212, -0.276671, 0.0008211136
0.9039831, -0.1207599, -0.001982689
1.857707, 0.1190377, -0.00837326
3.099541, 0.1551572, -0.01340866
4.44068, 0.1218378, -0.01240063
5.805476, 0.09368159, -0.008987427
7.098648, 0.1527141, -0.00658226
8.220164, 0.4265178, -0.005408287
0.9970946, 0.3798534, -0.004862785
2.020567, 0.001952559, -0.006309509
3.268401, -0.125609, -0.009413719
4.662255, -0.1331113, -0.01033878
6.065795, -0.1253607, -0.009450912
7.273796, -0.1661002, -0.007751465
8.03006, -0.3330162, -0.00573349
1.394726, -0.1030726, -0.005694389
2.289981, 0.06619984, -0.008948326
3.771594, 0.1016192, -0.01017666
5.493957, 0.07079959, -0.009618759
7.242058, 0.0584414, -0.006429672
9.057063, 0.04948163, -0.003020287
10.80083, 0.04472113, -0.00336647
12.38433, 0.04850769, -0.004398346
13.62597, 0.05494452, -0.00463295
14.47886, 0.05989599, -0.005744934
14.96368, 0.06440067, -0.009074211
15.16301, 0.06357479, -0.01096821
