Replication, Ex(m), Ey(m), Ez(m)
1, 5.601258, 0.07662197, 0.08390106
2, 5.369446, 0.07770903, 0.08032097
3, 5.729664, 0.08403423, 0.07697531
4, 5.56292, 0.07461484, 0.08694759
5, 5.390568, 0.07794233, 0.08442155
6, 5.482043, 0.07572798, 0.08533756
7, 5.451186, 0.0768989, 0.08201544
8, 5.477366, 0.07931066, 0.07968377
9, 5.236722, 0.08150431, 0.07955647
10, 5.312854, 0.0804472, 0.07903811
