Ex(m), Ey(m), Ez(m)
1
0.04680433, 0.06073998, 0.003957748
0.05576268, 0.04110102, 0.0298605
0.1571266, 0.02502728, 0.03675747
0.4462578, 0.01123886, 0.03693581
1.001248, 0.003526181, 0.03607178
1.903741, 0.00194627, 0.03771591
3.17056, 0.007275462, 0.03873158
4.743703, 0.02423811, 0.03908348
6.542428, 0.03714776, 0.03778934
8.390087, 0.03634405, 0.03717232
10.19595, 0.03359389, 0.03156757
11.95435, 0.09396744, -0.01541233
13.66885, 0.3283944, -0.1702909
15.20041, 0.8616362, -0.508461
2.091292, 0.4040373, -0.09793109
3.950401, -0.01581274, -0.04247439
5.982807, -0.1740665, -0.03986621
8.177753, -0.2071025, -0.05841041
10.44478, -0.2034224, -0.07733965
12.73072, -0.1856512, -0.08829355
14.97871, -0.1628036, -0.09160423
17.00536, -0.1297777, -0.0733881
18.71565, -0.02120936, 0.04348755
20.02197, 0.2490569, 0.3631592
1.212965, -0.001038104, 0.1902574
2.460405, -0.2531738, 0.03076148
3.913514, -0.2974896, 0.02995682
5.483871, -0.2352023, 0.07739115
6.976508, -0.1624691, 0.1027107
8.541336, -0.09705138, 0.105809
10.00749, -0.05683994, 0.1033278
11.48853, -0.03512669, 0.1006126
13.00129, -0.02724028, 0.09780693
14.47357, -0.02687073, 0.09193659
15.93256, -0.01751709, 0.07949018
17.31297, 0.09506798, 0.01296329
18.47245, 0.4209137, -0.1719522
1.204842, 0.2578909, -0.1749933
2.587197, -0.02780735, -0.004169047
4.244525, -0.1315837, -0.001495004
6.130087, -0.161243, -0.05828941
8.21835, -0.1806307, -0.1103673
10.23798, -0.1839063, -0.134701
12.28177, -0.1241455, -0.113054
14.21428, 0.09597588, -0.002732038
15.92417, 0.5698619, 0.2477469
1.471913, 0.5296313, 0.2964424
3.160387, -0.009428799, 0.1173758
5.072481, -0.269387, 0.0702008
7.131477, -0.3333787, 0.08723354
9.254434, -0.3049318, 0.1092677
11.42498, -0.2489035, 0.1116102
13.47223, -0.1827847, 0.09680867
15.38171, -0.1207732, 0.07060647
16.98397, -0.07038546, 0.03307199
18.08537, -0.03391171, -0.01274729
18.70808, -0.01012194, -0.06666565
18.97917, 0.006753683, -0.1105404
19.00793, 0.01245296, -0.1278481
2
-0.0238118, 0.03482492, -0.01375961
-0.006588651, 0.01902624, 0.009612083
0.08461743, 0.002828309, 0.01476479
0.311406, -0.01069864, 0.01496887
0.7407781, -0.02444868, 0.01531506
1.478992, -0.0322817, 0.01588535
2.596893, -0.0360896, 0.01589584
3.989738, -0.02929664, 0.01526546
5.635117, -0.01703453, 0.01478004
7.35248, -0.01131487, 0.01374245
9.203583, -0.009985209, 0.01463509
11.01099, 0.01266456, -0.001872063
12.80818, 0.1509893, -0.09238338
14.38275, 0.49053, -0.3098536
1.133513, 0.830284, -0.1988387
2.703057, 0.2047914, -0.09672081
4.593501, -0.09142464, -0.06454408
6.73696, -0.1842297, -0.07245779
9.037964, -0.1861616, -0.08967829
11.29447, -0.1748347, -0.1029005
13.5468, -0.1531909, -0.1095824
15.67547, -0.1291206, -0.1101203
17.65107, -0.07390893, -0.0620265
19.22144, 0.08993, 0.1264439
0.5919027, 0.3482116, 0.4351605
1.636437, -0.09229428, 0.106339
2.938216, -0.2730086, 0.008087993
4.425591, -0.2775489, 0.02954137
5.959785, -0.2067304, 0.0722909
7.494456, -0.1291714, 0.09545898
9.029186, -0.06590796, 0.1024163
10.52312, -0.02416086, 0.1036954
11.99039, -0.004851818, 0.104229
13.44118, -0.001900673, 0.1074119
14.92086, -0.005866528, 0.1101356
16.40225, 0.01975489, 0.08932304
17.74746, 0.1889834, -0.01304817
0.5568799, 0.5932364, -0.3889791
1.6244, 0.1274998, -0.07420784
3.071523, -0.08453977, 0.02248448
4.932896, -0.1547946, -0.009798408
6.891014, -0.1696408, -0.06726599
8.95136, -0.1772451, -0.1038308
10.95343, -0.1669245, -0.1138279
