Replication, Ex(m), Ey(m), Ez(m)
1, 8.126506, 0.2050666, 0.01888161
2, 8.27927, 0.1963859, 0.006346244
3, 8.109633, 0.1969214, 0.008948271
4, 8.706969, 0.1886559, 0.01300436
5, 8.612097, 0.1941946, 0.01211975
6, 8.390714, 0.1938921, 0.01201965
7, 8.105033, 0.2005189, 0.01086033
8, 8.630305, 0.1941369, 0.00932611
9, 8.076652, 0.1967858, 0.009593799
10, 8.258455, 0.1967863, 0.007556512

