Replication, Ex(m), Ey(m), Ez(m)
1, 8.571809, 0.1988502, 0.01788125
2, 8.415222, 0.1946176, 0.006231125
3, 8.297006, 0.1974519, 0.008979118
4, 8.669076, 0.1903011, 0.01269672
5, 8.62907, 0.1946171, 0.0118331
6, 8.338934, 0.1923634, 0.01155587
7, 8.064384, 0.2010175, 0.01058319
8, 8.493395, 0.1963297, 0.00930456
9, 8.158436, 0.2016288, 0.00931881
10, 8.440167, 0.2000679, 0.007333646
