Ex(m), Ey(m), Ez(m)
1
0.04584795, 0.06235124, 0.003557205
0.05362082, 0.04108138, 0.03034592
0.1442382, 0.02419245, 0.03691578
0.4049739, 0.009588681, 0.03728676
0.9501113, 0.0008275509, 0.03651428
1.868635, 0.0007058978, 0.03879642
3.132962, 0.01455033, 0.03960133
4.687346, 0.03396225, 0.0397625
6.420859, 0.04108691, 0.03800678
8.284798, 0.03617406, 0.03729725
10.09296, 0.03120136, 0.03573513
11.89532, 0.096066, 0.03249836
13.563, 0.3335385, 0.02908897
15.11995, 0.8834195, 0.02563763
1.822814, 0.4438662, 0.0219593
3.565299, -0.02652332, 0.01653385
5.500244, -0.2132058, 0.01163292
7.542233, -0.2413804, 0.009878159
9.664732, -0.2182192, 0.009716034
11.78226, -0.1766705, 0.009284973
13.85467, -0.06611603, 0.006994247
15.74577, 0.1990927, 0.001736641
17.53333, 0.7471363, -0.004313469
1.822989, 0.2785797, -0.009689331
3.653887, -0.09429359, -0.01317215
5.659538, -0.2246933, -0.01340199
7.682411, -0.2177441, -0.01157761
9.787502, -0.1770759, -0.009474754
11.74693, -0.09491348, -0.008378029
13.61301, 0.1358695, -0.009467125
15.31732, 0.637547, -0.01164436
1.400828, 0.5615239, -0.0147543
3.038144, 0.03051066, -0.01863384
4.90037, -0.2024941, -0.01833153
6.97412, -0.2452576, -0.0159235
9.020263, -0.2175176, -0.01266956
10.99126, -0.1662912, -0.01002216
12.9836, 0.004868031, -0.01028252
14.79772, 0.4025292, -0.01203251
0.8122426, 0.8316415, -0.01502228
2.425564, 0.1792114, -0.01863861
4.342157, -0.1797587, -0.02205658
6.414458, -0.3044164, -0.02189159
8.513844, -0.3079944, -0.01897526
10.6733, -0.2763121, -0.0149374
12.79024, -0.2242633, -0.0132761
14.67562, -0.1682621, -0.01086044
16.24193, -0.1169181, -0.007548332
17.34783, -0.07192063, -0.006119728
17.94977, -0.03481531, -0.008198738
18.21711, -0.007979989, -0.01053143
18.264, 0.004049063, -0.00921917
2
-0.01542836, 0.0369557, -0.009969711
