Ex(m), Ey(m), Ez(m)
1
0.08105291, 0.1444415, 0.005773544
0.08003111, 0.1005476, 0.03356743
0.1670123, 0.06063658, 0.04314995
0.443435, 0.02933733, 0.04447746
1.015551, -0.003838003, 0.04493046
1.969696, -0.01708549, 0.04384613
3.293876, -0.0151844, 0.04364777
4.919209, 0.0118463, 0.04144859
6.676362, 0.035079, 0.03651714
8.60977, 0.04058909, 0.03240681
10.44934, 0.04408216, 0.02558708
12.21189, 0.1187489, -0.02796364
13.90434, 0.3783464, -0.2001057
15.35284, 0.9298491, -0.5556726
2.216292, 0.3509828, -0.1081482
4.081469, -0.0391064, -0.07274127
6.210411, -0.1898441, -0.07904029
8.536332, -0.2217838, -0.09110594
10.88479, -0.2255236, -0.09373236
13.29042, -0.2088494, -0.08555269
15.57082, -0.1791368, -0.07041216
17.52554, -0.1255568, -0.02308083
19.13812, 0.02122986, 0.1418104
20.33198, 0.341415, 0.5228128
1.524607, -0.1781461, 0.09727734
2.839036, -0.3975283, -0.01438534
4.273179, -0.4246484, 0.02150619
5.814676, -0.3512266, 0.0873034
7.313879, -0.2538195, 0.1235776
8.771014, -0.1606648, 0.134124
10.32643, -0.08176088, 0.1333418
11.80345, -0.03155184, 0.1296253
13.32737, -0.0001869202, 0.1232486
14.8504, 0.01670885, 0.1135221
16.33578, 0.05535173, 0.08596611
17.65821, 0.2236881, -0.01619244
18.80622, 0.6694503, -0.2791166
1.686472, 0.1483623, -0.07956722
3.199577, -0.07359517, 0.02392387
4.92907, -0.1438751, -0.00716114
6.89146, -0.1749744, -0.07294548
8.930246, -0.2028754, -0.1214302
10.94574, -0.2093403, -0.1418962
12.90906, -0.1231694, -0.1036503
14.74342, 0.1548505, 0.03829479
16.32245, 0.7008758, 0.3263979
1.733392, 0.4069155, 0.2574272
3.408345, -0.04892944, 0.124795
5.305178, -0.2685383, 0.1048394
7.350469, -0.3277869, 0.1282312
9.542337, -0.310509, 0.1435604
11.70595, -0.2638505, 0.1320524
13.72934, -0.2018648, 0.1036286
15.65725, -0.1362129, 0.06341124
17.19096, -0.08181727, 0.01635265
18.25012, -0.04218829, -0.0374465
18.88141, -0.01264369, -0.101336
19.14399, 0.004134893, -0.1509638
19.1813, 0.006342649, -0.1757112
2
0.01439291, 0.1280638, -0.01615429
0.02289586, 0.08745524, 0.007127762
0.1250828, 0.04842973, 0.01313305
0.3896509, 0.01132146, 0.01390648
0.9227387, -0.01594654, 0.01384163
1.813556, -0.03973097, 0.0137558
3.081775, -0.05351186, 0.01339817
4.595519, -0.0419724, 0.01295757
