Replication, Ex(m), Ey(m), Ez(m)
1, 8.305515, 0.2012785, 0.01848155
2, 8.277117, 0.1965545, 0.006357541
3, 8.089275, 0.2000346, 0.008476312
4, 8.358756, 0.1903818, 0.01225695
5, 8.492269, 0.1901032, 0.0117894
6, 8.45706, 0.1919507, 0.01170146
7, 8.258417, 0.1977593, 0.01076122
8, 8.461593, 0.2002503, 0.009513176
9, 8.446207, 0.1986152, 0.009538119
10, 8.359751, 0.2000111, 0.007474643
