Ex(m), Ey(m), Ez(m)
1
0.03978459, 0.05214739, 0.01058483
0.0599325, 0.03313153, 0.03179169
0.1810725, 0.02094113, 0.03634071
0.4940915, 0.009917483, 0.03684044
1.107136, 0.00234434, 0.03707123
2.125907, 0.005566597, 0.03770256
3.526996, 0.007324457, 0.03867722
5.232739, 0.02001178, 0.03958797
7.0172, 0.03278971, 0.0382309
8.896976, 0.03377867, 0.03664684
10.79829, 0.04691362, 0.03479576
12.53012, 0.1663647, 0.03226662
14.16632, 0.5075665, 0.02934074
0.9462727, 0.9136395, 0.02658463
2.414756, 0.2486321, 0.02233028
4.221439, -0.1034169, 0.0179863
6.259783, -0.2219265, 0.01381969
8.366347, -0.2220888, 0.01211929
10.56639, -0.1970564, 0.01184082
12.63228, -0.1446882, 0.01001549
14.66708, 0.01912171, 0.006319046
16.56726, 0.3999285, 8.773804e-05
0.9569987, 0.5942625, -0.006569862
2.706501, 0.04881692, -0.01206875
4.629681, -0.1907818, -0.01468563
6.573278, -0.2365797, -0.01301193
8.580219, -0.2054572, -0.01013947
10.55275, -0.1595879, -0.008412361
12.472, -0.03297424, -0.008732796
14.34909, 0.3040953, -0.01137447
15.92093, 0.9386463, -0.01422977
2.151621, 0.2656978, -0.01717091
3.873534, -0.1092017, -0.02073097
5.757382, -0.2396364, -0.02018261
7.762123, -0.2384374, -0.01704407
9.804233, -0.20419, -0.01365185
11.84748, -0.1141033, -0.01087761
13.73676, 0.1316733, -0.01165867
15.44475, 0.6374025, -0.01459694
1.424304, 0.5277153, -0.0173254
3.140891, 0.006762296, -0.02155304
5.001517, -0.2413803, -0.02389812
7.049785, -0.3139337, -0.02298737
9.085373, -0.3030224, -0.02045059
11.19555, -0.2648784, -0.01761246
13.18502, -0.2134107, -0.01594925
14.96208, -0.1611688, -0.01395035
16.41767, -0.1114951, -0.0105238
17.44457, -0.06747162, -0.00847435
17.99666, -0.03427804, -0.009809494
18.23517, -0.008689642, -0.01177788
18.2642, 0.002589822, -0.0114212
2
-0.01572744, 0.03291233, -0.003059387
0.006556697, 0.02401082, 0.0113039
0.1153057, 0.0100573, 0.0137558
0.3760461, -0.004354857, 0.01430321
0.8721001, -0.02249412, 0.01516342
1.697585, -0.03829959, 0.01703453
2.865613, -0.03806287, 0.01691341
4.343266, -0.02647388, 0.01598263
5.995238, -0.01356173, 0.0154295
7.730322, -0.009510756, 0.01498508
9.55943, -0.01398659, 0.01530266
11.37925, 0.02629137, 0.01497841
13.1633, 0.2223499, 0.01412201
14.80808, 0.7022791, 0.01242161
1.456231, 0.5964467, 0.01080132
3.099359, 0.05814676, 0.006411552
4.928407, -0.1669354, 0.00379467
6.923576, -0.212607, 0.004795074
9.006584, -0.1882371, 0.00637722
11.10557, -0.1561573, 0.006662369
13.20328, -0.0810113, 0.005950928
15.19875, 0.1347743, 0.0052948
17.04436, 0.6028743, 0.004718781
1.421222, 0.4663423, 0.003725052
3.190534, 0.0143652, 0.001899719
5.097299, -0.1776688, 0.001163483
7.058583, -0.2097585, 0.00129509
9.022326, -0.1852026, 0.002072334
11.05269, -0.1370573, 0.002770424
12.93653, 0.0210247, 0.002285004
14.70196, 0.4095078, 0.001513481
0.9299555, 0.815011, 0.0004501343
2.512284, 0.1559278, -0.001795769
4.305502, -0.1672227, -0.003640175
6.199842, -0.2618539, -0.002373695
8.236623, -0.2459171, -0.0002040863
10.21719, -0.2039611, 0.002675056
12.22585, -0.08204794, 0.003127098
14.07142, 0.2097697, 0.001925468
15.79526, 0.8053393, 0.0002880096
1.839685, 0.3708419, -0.003242493
3.651443, -0.07996956, -0.005817413
5.618197, -0.2712062, -0.006212234
7.704371, -0.3075379, -0.004681587
9.837993, -0.2877863, -0.002840042
11.8764, -0.2472888, -0.002064705
13.84752, -0.1938238, -0.003087044
15.5723, -0.1402639, -0.001194954
16.85433, -0.09526885, 0.001297951
17.70272, -0.0602963, 0.0002603531
18.12127, -0.03310776, -0.003490448
18.25476, -0.01667368, -0.006370544
3
-0.01488499, 0.02977651, -0.006203651
0.008468517, 0.02135727, 0.01172447
0.1136244, 0.01365847, 0.01491547
0.3780068, 0.001127064, 0.01512623
0.8710481, -0.01732951, 0.01563263
1.725529, -0.03523275, 0.0161562
2.98681, -0.04155809, 0.01534653
4.470729, -0.03196776, 0.01513767
6.180008, -0.0166024, 0.01578712
7.953512, -0.00807476, 0.01728725
9.756843, -0.00437808, 0.0188179
11.63404, 0.05258584, 0.01848602
13.38475, 0.2711692, 0.01790047
14.94676, 0.7589784, 0.01644421
1.515905, 0.5767916, 0.01446915
3.171583, 0.04569335, 0.01158047
5.073586, -0.1811794, 0.01106548
7.136736, -0.2243759, 0.0122385
9.259852, -0.1963261, 0.01386642
11.34466, -0.1582898, 0.01434803
13.41981, -0.06873673, 0.01372719
15.33805, 0.1583107, 0.0118084
17.14527, 0.635399, 0.009140015
1.550409, 0.4085929, 0.007102966
3.36643, -0.02441537, 0.004943848
5.273154, -0.1941943, 0.005524635
7.269524, -0.2125959, 0.006754875
9.261948, -0.1828179, 0.007770538
11.20858, -0.1242166, 0.008194923
13.21356, 0.07432985, 0.007659912
14.97564, 0.5186791, 0.007441521
1.112978, 0.7268952, 0.006789207
2.802144, 0.0929544, 0.003129959
4.691427, -0.1848189, 0.0007362366
6.733125, -0.2504747, 0.001814842
8.693941, -0.2313874, 0.003732681
10.67382, -0.1857197, 0.005484581
12.58406, -0.04739237, 0.004987717
14.39281, 0.2865663, 0.003456116
0.4738503, 1.038302, 0.001868248
2.151798, 0.2613585, -0.002339363
3.998243, -0.1375852, -0.006257057
6.001952, -0.2954529, -0.006953239
8.077708, -0.3136752, -0.00488472
10.15229, -0.2866556, -0.00364399
12.24332, -0.2386358, -0.005269051
14.16577, -0.1841123, -0.005461693
15.7971, -0.1333765, -0.003588676
17.02658, -0.08823264, -0.001559258
17.77207, -0.05416536, -0.003629684
18.15851, -0.02794969, -0.005750656
18.26547, -0.01148176, -0.005263329
4
0.02937899, 0.07115261, -0.01182747
0.03643087, 0.04810047, 0.00855732
0.1269981, 0.02707935, 0.01407337
0.3953624, 0.01207729, 0.01589394
0.941084, -0.0001318753, 0.01731586
1.815376, -0.004408956, 0.01953506
3.065618, 0.001147151, 0.02105808
4.639354, 0.0074687, 0.02230263
6.428065, 0.01338351, 0.02375126
8.285017, 0.01460505, 0.02529716
10.15249, 0.01564145, 0.02533722
12.02155, 0.09367967, 0.02394199
13.74082, 0.3581338, 0.02166271
15.31394, 0.946157, 0.0199213
1.951975, 0.41082, 0.01721382
3.68677, -0.01904684, 0.01453972
5.711632, -0.1760816, 0.0151968
7.782032, -0.1752464, 0.01732349
10.02223, -0.1340696, 0.0198822
12.08983, -0.08594632, 0.02089024
14.11067, 0.03705883, 0.01995468
15.98913, 0.3385452, 0.01808262
17.68656, 0.9147394, 0.01460648
2.136158, 0.2799046, 0.01090622
4.025501, -0.05790663, 0.009543419
5.992244, -0.1594141, 0.01070976
8.029205, -0.1472237, 0.01255417
10.07078, -0.1133614, 0.01437473
12.07383, -0.01384449, 0.01431942
13.88567, 0.2498446, 0.0124445
15.54192, 0.8001719, 0.008991241
1.694504, 0.4801412, 0.005962372
3.406713, -0.005581617, 0.002508163
5.227759, -0.1918511, 0.001648903
7.159794, -0.214026, 0.003231049
9.207144, -0.1783879, 0.005527496
11.17887, -0.114161, 0.006376266
13.14759, 0.07872677, 0.004613876
14.95413, 0.5025029, 0.0007095337
1.035006, 0.7543993, -0.003079414
2.703511, 0.1366335, -0.007390976
4.526671, -0.1658546, -0.01109314
6.486307, -0.26506, -0.01246262
8.580961, -0.2617722, -0.01191521
10.72997, -0.2260609, -0.01073742
12.7192, -0.1823677, -0.01109505
14.55357, -0.1376935, -0.01191235
16.06705, -0.09897137, -0.01114082
17.21428, -0.06782818, -0.01118946
17.88733, -0.04577482, -0.01336479
18.18511, -0.0367316, -0.01534462
18.25394, -0.0316124, -0.01438046
5
0.05451628, 0.07887363, -0.003900528
0.07645151, 0.05674114, 0.01242447
0.2121705, 0.03487929, 0.0164423
0.5503164, 0.01606791, 0.01662159
1.191575, 0.004744858, 0.01797104
2.204839, 0.005255103, 0.01839828
3.630257, 0.01118493, 0.01955414
5.289648, 0.01258504, 0.02129269
7.117754, 0.01455116, 0.02309036
8.934517, 0.01182222, 0.02335072
10.80808, 0.03048754, 0.02244663
12.56494, 0.1577134, 0.02107906
14.2189, 0.5017695, 0.01987171
0.8914391, 0.9485532, 0.01959419
